Santa Rosa de Quilhues;699230;5512089;572;
Fundo Mi Tierra;699000;5584406;520;
Champulli;699000;5506500;413;
Fundo Las Mariposas;698941;5558190;215;
Pla. N? 62 Diumen;698589;5535909;153;
Fundo El Algarrobo;698112;5542841;109;
Fundo El Pell?n;697927;5558093;257;
Pla.44 Y 51 Cayurruca;697603;5538196;170;
Fundo Mistral;697331;5578217;401;
Fdo. Cotreumo;697298;5524074;120;
Fundo Esmeralda;697257;5509953;381;
Fdo Los Chilcos;697121;5542966;300;
Paillahue;697078;5525754;173;
Fundo Los Maitenes;697050;5550579;135;
Parcela  Los Casta?os N?1;696890;5504825;167;
Fundo Tantauco;696870;5592445;813;
Fundo Santa Filomena;696597;5556030;426;
Fundo Trapi  Lote 1  3 y 5;696529;5530362;114;
Fundo Santa Margarita Von Ampe;696430;5586279;1437;
Fundo Santa Teresa;696391;5579335;392;
Fundo Cayurruca;696228;5535151;167;
Fundo Paillahue;696199;5526406;401;
Fundo Los Robles;696122;5591566;349;
Fundo Pu?uman;695954;5545205;550;
Fundo El Oriente;695861;5529374;209;
Fundo Santa Elena;695599;5565728;667;
Fundo Collico;695154;5522068;220;
Fundo Filuco;694738;5517169;1293;
Fundo San Pedro;694686;5588137;2083;
Fundo Carimallin;694532;5503309;197;
El Ciruelo;694412;5591711;300;
Los Ciruelos;694348;5591513;128;
Chamalieres;694214;5542510;103;
Fundo Mari- Mari;694122;5581670;105;
Sagllue Lote 3;693869;5581109;110;
Fundo La Vega;693804;5580779;102;
Fundo Glamis;693622;5561640;111;
Fundo Purrihuin;693558;5528969;143;
Fundo Las Vegas;693435;5541430;130;
Fundo Ponhuipa;693433;5508209;444;
Los Casta?os;693427;5514995;112;
Fundo Colico;693408;5517190;158;
Fundo Cuyaima;692954;5519037;448;
Fdo. El Vergel;692910;5566605;245;
Fundo Los Leones;692666;5542221;146;
Parcela 12 y 13 Los Encinos;692557;5553487;107;
Fundo Las Quemas;692534;5545595;287;
Fundo El Copihue Reumen;692370;5565018;101;
Fundo Colhue;692356;5537738;178;
