ObjectID;Name;FacilityID;DemandID;Weight;TotalWeighted_Length;Total_Length
1378;Location 63 - Location 64;63;138;1,000000000000000;6435,108899976785300;6435,108899976785300
1379;Location 66 - Location 66;66;140;1,000000000000000;0,000000000000000;0,000000000000000
1380;Location 66 - Location 67;66;141;1,000000000000000;8426,190809518277100;8426,190809518277100
1381;Location 66 - Location 68;66;142;1,000000000000000;14,197178070098252;14,197178070098252
1382;Location 66 - Location 69;66;143;1,000000000000000;8502,795843096566400;8502,795843096566400
1383;Location 71 - Location 70;71;144;1,000000000000000;7499,942596068254700;7499,942596068254700
1384;Location 71 - Location 71;71;145;1,000000000000000;0,000000000000000;0,000000000000000
1385;Location 72 - Location 65;72;139;1,000000000000000;3733,292721814051700;3733,292721814051700
1386;Location 72 - Location 72;72;146;1,000000000000000;0,000000000000000;0,000000000000000
1387;Location 75 - Location 73;75;147;1,000000000000000;6133,499077237426700;6133,499077237426700
1388;Location 75 - Location 74;75;148;1,000000000000000;6213,868456929148100;6213,868456929148100
1389;Location 75 - Location 75;75;149;1,000000000000000;0,000000000000000;0,000000000000000
1390;Location 77 - Location 77;77;151;1,000000000000000;0,000000000000000;0,000000000000000
1391;Location 77 - Location 78;77;152;1,000000000000000;3506,129959128757900;3506,129959128757900
1392;Location 77 - Location 85;77;159;1,000000000000000;5947,860333587472300;5947,860333587472300
1393;Location 77 - Location 87;77;161;1,000000000000000;7714,564155153375400;7714,564155153375400
1394;Location 77 - Location 88;77;162;1,000000000000000;9978,673007686846200;9978,673007686846200
1395;Location 82 - Location 80;82;154;1,000000000000000;990,366043209672170;990,366043209672170
1396;Location 82 - Location 82;82;156;1,000000000000000;0,000000000000000;0,000000000000000
1397;Location 82 - Location 90;82;164;1,000000000000000;6935,238824830077600;6935,238824830077600
1398;Location 84 - Location 84;84;158;1,000000000000000;0,000000000000000;0,000000000000000
1399;Location 93 - Location 76;93;150;1,000000000000000;3929,271916942917900;3929,271916942917900
1400;Location 93 - Location 79;93;153;1,000000000000000;6591,498684261136100;6591,498684261136100
1401;Location 93 - Location 86;93;160;1,000000000000000;2908,869818206483200;2908,869818206483200
1402;Location 93 - Location 89;93;163;1,000000000000000;9853,955885713712600;9853,955885713712600
1403;Location 93 - Location 91;93;165;1,000000000000000;9499,837588990765700;9499,837588990765700
1404;Location 93 - Location 92;93;166;1,000000000000000;5682,860320347114800;5682,860320347114800
1405;Location 93 - Location 93;93;167;1,000000000000000;0,000000000000000;0,000000000000000
1406;Location 94 - Location 94;94;168;1,000000000000000;0,000000000000000;0,000000000000000
1407;Location 94 - Location 97;94;171;1,000000000000000;3445,347874720462200;3445,347874720462200
1408;Location 94 - Location 98;94;172;1,000000000000000;6283,789122320435100;6283,789122320435100
1409;Location 94 - Location 100;94;174;1,000000000000000;7921,536574307614500;7921,536574307614500
1410;Location 94 - Location 101;94;175;1,000000000000000;5671,850146547296400;5671,850146547296400
1411;Location 95 - Location 95;95;169;1,000000000000000;0,000000000000000;0,000000000000000
1412;Location 96 - Location 96;96;170;1,000000000000000;0,000000000000000;0,000000000000000
1413;Location 102 - Location 102;102;176;1,000000000000000;0,000000000000000;0,000000000000000
1414;Location 102 - Location 106;102;180;1,000000000000000;4011,381458911877900;4011,381458911877900
1415;Location 105 - Location 30;105;104;1,000000000000000;3132,257619991542900;3132,257619991542900
1416;Location 105 - Location 99;105;173;1,000000000000000;4397,261713883008300;4397,261713883008300
1417;Location 105 - Location 103;105;177;1,000000000000000;8726,362528705629300;8726,362528705629300
1418;Location 105 - Location 104;105;178;1,000000000000000;3447,667236070997700;3447,667236070997700
1419;Location 105 - Location 105;105;179;1,000000000000000;0,000000000000000;0,000000000000000
1420;Location 107 - Location 107;107;181;1,000000000000000;0,000000000000000;0,000000000000000
1421;Location 109 - Location 109;109;183;1,000000000000000;0,000000000000000;0,000000000000000
1422;Location 109 - Location 110;109;184;1,000000000000000;6340,622678887544700;6340,622678887544700
1423;Location 109 - Location 112;109;186;1,000000000000000;6773,549444577744000;6773,549444577744000
1424;Location 113 - Location 108;113;182;1,000000000000000;6799,010117085076700;6799,010117085076700
1425;Location 113 - Location 111;113;185;1,000000000000000;2581,999075686152100;2581,999075686152100
1426;Location 113 - Location 113;113;187;1,000000000000000;0,000000000000000;0,000000000000000
1427;Location 113 - Location 116;113;190;1,000000000000000;3514,965649217158000;3514,965649217158000
1428;Location 113 - Location 117;113;191;1,000000000000000;4061,984110144251600;4061,984110144251600
1429;Location 113 - Location 119;113;193;1,000000000000000;6541,563165088335200;6541,563165088335200
1430;Location 114 - Location 114;114;188;1,000000000000000;0,000000000000000;0,000000000000000
1431;Location 115 - Location 115;115;189;1,000000000000000;0,000000000000000;0,000000000000000
1432;Location 118 - Location 118;118;192;1,000000000000000;0,000000000000000;0,000000000000000
1433;Location 124 - Location 120;124;194;1,000000000000000;5303,440255846982800;5303,440255846982800
1434;Location 124 - Location 124;124;198;1,000000000000000;0,000000000000000;0,000000000000000
1435;Location 124 - Location 518;124;592;1,000000000000000;9794,105843690056600;9794,105843690056600
1436;Location 124 - Location 533;124;607;1,000000000000000;7701,636151918486600;7701,636151918486600
1437;Location 125 - Location 125;125;199;1,000000000000000;0,000000000000000;0,000000000000000
1438;Location 125 - Location 128;125;202;1,000000000000000;1665,896127017303600;1665,896127017303600
1439;Location 129 - Location 121;129;195;1,000000000000000;6227,954988538677800;6227,954988538677800
1440;Location 129 - Location 126;129;200;1,000000000000000;3335,943579668621200;3335,943579668621200
1441;Location 129 - Location 127;129;201;1,000000000000000;2490,806800851572900;2490,806800851572900
1442;Location 129 - Location 129;129;203;1,000000000000000;0,000000000000000;0,000000000000000
1443;Location 130 - Location 130;130;204;1,000000000000000;0,000000000000000;0,000000000000000
1444;Location 130 - Location 134;130;208;1,000000000000000;5130,344057430751500;5130,344057430751500
1445;Location 132 - Location 122;132;196;1,000000000000000;6265,536584651161300;6265,536584651161300
1446;Location 132 - Location 123;132;197;1,000000000000000;7114,795599547028400;7114,795599547028400
1447;Location 132 - Location 131;132;205;1,000000000000000;3740,317486098952000;3740,317486098952000
1448;Location 132 - Location 132;132;206;1,000000000000000;0,000000000000000;0,000000000000000
1449;Location 136 - Location 136;136;210;1,000000000000000;0,000000000000000;0,000000000000000
1450;Location 137 - Location 135;137;209;1,000000000000000;5811,151866478567200;5811,151866478567200
1451;Location 137 - Location 137;137;211;1,000000000000000;0,000000000000000;0,000000000000000
1452;Location 137 - Location 147;137;221;1,000000000000000;5289,994437854420500;5289,994437854420500
1453;Location 137 - Location 151;137;225;1,000000000000000;9275,464862245549700;9275,464862245549700
1454;Location 143 - Location 143;143;217;1,000000000000000;0,000000000000000;0,000000000000000
1455;Location 144 - Location 139;144;213;1,000000000000000;4042,860601955828300;4042,860601955828300
1456;Location 144 - Location 140;144;214;1,000000000000000;3425,759860605415700;3425,759860605415700
1457;Location 144 - Location 144;144;218;1,000000000000000;0,000000000000000;0,000000000000000
1458;Location 144 - Location 148;144;222;1,000000000000000;2743,232205159987600;2743,232205159987600
1459;Location 144 - Location 150;144;224;1,000000000000000;2397,754646362820500;2397,754646362820500
1460;Location 144 - Location 157;144;231;1,000000000000000;7379,907053978570700;7379,907053978570700
1461;Location 146 - Location 138;146;212;1,000000000000000;3768,802039739208800;3768,802039739208800
1462;Location 146 - Location 141;146;215;1,000000000000000;1779,950701488791300;1779,950701488791300
1463;Location 146 - Location 145;146;219;1,000000000000000;2392,347124053657400;2392,347124053657400
